,created_at,sentiment,tweet
0,2019-09-06,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 12 00 55 n bitcoin 10 731 047 n ethereum 175 268 n xrp 0 257 xe2 x80 xa6
1,2019-09-06,Neutral,b btcusd market 1h timeframe on september 6 at 08 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
2,2019-09-06,Neutral,b xe2 x8f xb0 12 00 n xe2 x82 xbf bitcoin 10 722 4460 n bitcoin btc btcusd
3,2019-09-06,Neutral,b bitcoin btc nprice 10 729 28 nchange in 1h 0 11 nmarket cap 192 255 399 390 00 nranking 1 n bitcoin btc
4,2019-09-06,Neutral,b xe2 x9c x85sparrow s weekly options are settled n2019 09 06 16 00 00 sgt n n xf0 x9f x93 x88 btc usd 10 740 2 n xf0 x9f x93 x88 eth usd 175 32 n ntime to m xe2 x80 xa6
5,2019-09-06,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 11 02 00 n bitcoin 10 737 24491 n ethereum 175 48756 n xrp 0 25 xe2 x80 xa6
6,2019-09-06,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 11 00 59 n bitcoin 10 737 245 n ethereum 175 432 n xrp 0 256 xe2 x80 xa6
7,2019-09-06,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 11 00 54 n bitcoin 10 737 24491 n ethereum 175 43191 n xrp 0 25 xe2 x80 xa6
8,2019-09-06,Neutral,b btcusd market 1h timeframe on september 6 at 07 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
9,2019-09-06,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 11 00 37 n bitcoin 10 737 24491 n ethereum 175 43191 n xrp 0 25 xe2 x80 xa6
10,2019-09-06,Neutral,b xe2 x8f xb0 11 00 n xe2 x82 xbf bitcoin 10 756 4920 n bitcoin btc btcusd
11,2019-09-06,Positive,b important wallet maintenance notice oceanex will perform scheduled wallet maintenance between 9 00 pm 11 00 p xe2 x80 xa6
12,2019-09-06,Neutral,b rt spinfest is on nbetchain is giving out a total of 4 000 free spins each week nto join play between saturday xe2 x80 xa6
13,2019-09-06,Neutral,b rt spinfest is on nbetchain is giving out a total of 4 000 free spins each week nto join play between saturday xe2 x80 xa6
14,2019-09-06,Neutral,b new flash alert long bitcoin cash bch at us 296 518 signalled at 2019 09 06t07 00 00
15,2019-09-06,Neutral,b 1 btc bitcoin quotes n 10730 59 10737 00 bitstamp n 10735 10 10738 64 kraken n xe2 x87 xa2 1 90 8 05
16,2019-09-06,Neutral,b btcusd market 1h timeframe on september 6 at 06 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
17,2019-09-06,Neutral,b xe2 x8f xb0 10 00 n xe2 x82 xbf bitcoin 10 745 2650 n bitcoin btc btcusd
18,2019-09-06,Neutral,b bitcoin btc nprice 10 730 71 nchange in 1h 0 16 nmarket cap 192 279 882 461 00 nranking 1 n bitcoin btc
19,2019-09-06,Neutral,b market price napshot 06 9 19 08 00 n nbitcoin 10727 71 nxrp 0 26 nether 175 74 nlitecoin 66 76 nbitcoin cash 2 xe2 x80 xa6
20,2019-09-06,Neutral,b xf0 x9f x93 x88pump alert bkx usdt on okex price increase 10 00 volume 10 73 bkx usdt okex crypto bitcoin xe2 x80 xa6
21,2019-09-06,Neutral,b spinfest is on nbetchain is giving out a total of 4 000 free spins each week nto join play between satur xe2 x80 xa6
22,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
23,2019-09-06,Neutral,b xe3 x80 market surveillance september 6 btc rises above 10600 xe3 x80 x91as of 03 00 utc on september 6 xe2 x80 xa6
24,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
25,2019-09-06,Positive,b wow making bitcoin online is so easy ncheck out steampunk xe2 x80 xa6
26,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
27,2019-09-06,Neutral,b xf0 x9f xa4 x96 1 hour crypto usd prices n n btc xe2 xac x87 10 74k 0 06 n ltc xe2 xac x86 66 70 0 03 n bnb xe2 xac x87 22 35 0 45 n trx xe2 xac x87 0 0149 xe2 x80 xa6
28,2019-09-06,Neutral,b 179 0 btc bought 10700 00 usdt at binance sent by whalemonitor bitcoin binance
29,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
30,2019-09-06,Neutral,b current bitcoin price 11158 39 includes sum of forks btc 10729 00 bch 296 70 0 0277 btc bsv 132 69 0 0124 btc
31,2019-09-06,Positive,b top 5 cryptocurrencies n alert time 2019 09 06 09 00 54 n bitcoin 10 714 262 n ethereum 175 781 n xrp 0 257 xe2 x80 xa6
32,2019-09-06,Neutral,b btcusd market 1h timeframe on september 6 at 05 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
33,2019-09-06,Neutral,b xe2 x8f xb0 09 00 n xe2 x82 xbf bitcoin 10 721 0000 n bitcoin btc btcusd
34,2019-09-06,Neutral,b rt com bitcoin price at 22 00 utc 3th september was 10681 86 who was closest xf0 x9f x8f x86
35,2019-09-06,Neutral,b 699 00 fee to move a billion dollars n nand says bitcoin has no use case
36,2019-09-06,Neutral,b hello humans as of fri sep 6 00 30 14 cdt 2019 current cryptocoin prices n bitcoin is 10719 9556 n dash is 81 xe2 x80 xa6
37,2019-09-06,Neutral,b rt usdt trading competition 30 000 usdt xe2 x89 x88 2 84 bitcoin to giveaway npromotion period promotion period 2019 09 04 12 xe2 x80 xa6
38,2019-09-06,Neutral,b 1 btc price bitstamp 10760 00 usd coinbase usd btc bitcoin 2019 09 06 01 10
39,2019-09-06,Neutral,b hourly price update usdt n n xe2 x80 xa2 bsv bitcoin 131 20 n ndead forks n n xe2 x80 xa2 btc blockstream turd coin 10734 30 n xe2 x80 xa2 bch btrash 296 00
