,created_at,sentiment,tweet
0,2019-09-02,Neutral,b i constantly struggle to find the silver bullet to spoon feed precoiners bitcoin i beg y xe2 x80 xa6
1,2019-09-02,Positive,b rt another fun trivia holds on wednesday at 15 00 utc n nvenue 15 questions n 1 666 pa xe2 x80 xa6
2,2019-09-02,Neutral,b my bitcoin stock just made me 1 00 who wants to hit up the dollar menu with me cause im ricchhh jkjk mcdonalds is xe2 x80 xa6
3,2019-09-02,Neutral,b btc 10364 22 up 0 04 0 00 in the last hour bitcoin bitsmart
4,2019-09-02,Neutral,b bitcoin btc price 10402 61 24hr change 633 00 nethereum eth price 178 46 24hr change 7 08
5,2019-09-02,Positive,b top 5 cryptocurrencies n alert time 2019 09 03 02 01 00 n bitcoin 10 364 224 n ethereum 178 325 n xrp 0 262 xe2 x80 xa6
6,2019-09-02,Neutral,b bitcoincryptocurrency nbitcoin usd 10039 49 nbitcoin eur 9133 00 nbitcoin yen 1061826 10 nbitcoin ruble 641580 08 xe2 x80 xa6
7,2019-09-02,Neutral,b btcusd market 1h timeframe on september 2 at 22 00 utc is bullish cryptocurrency bitcoin btc crypto xe2 x80 xa6
8,2019-09-02,Neutral,b sep 02 2019 04 00pm bitcoin price nusd 10039 43 eur 9133 00 jpy 1061822 69
9,2019-09-02,Neutral,b xe2 x8f xb0 02 00 n xe2 x82 xbf bitcoin 10 396 2459 n bitcoin btc btcusd
10,2019-09-02,Neutral,b pre xc3 xa7os bank to crypto n nbitcoin r 44 760 68 nbitcoin cash r 1 370 99 nethereum r 794 49 nsmartcash r 0 02 nzcor xe2 x80 xa6
11,2019-09-02,Neutral,b pre xc3 xa7os bank to crypto n nbitcoin r 44 760 68 nbitcoin cash r 1 370 99 nethereum r 794 49 nsmartcash r 0 02 nzcor xe2 x80 xa6
12,2019-09-02,Neutral,b xe3 x80 x90bitcoin continues to rise surging over 6 close to the 10400 level xe3 x80 x91according to bitcoin xe2 x80 xa6
